0,1,2,3,4,5
201811,27,Never Enough,Loren Allred,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201811,31,It was you,San E,"라라 (Live Again, Love Again) OST Part.4","랩/힙합, 국내영화"
201811,37,Rewrite The Stars,Zac Efron,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201811,44,The Greatest Show,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,국외영화
201811,65,19금Lose Yourself,Eminem,8 마일 OST,"록/메탈, 랩/힙합, 국외영화"
201811,66,The Other Side,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201811,71,How Long Will I Love You,Ellie Goulding,어바웃타임 OST,"록/메탈, 국외영화"
201811,73,A Million Dreams,Ziv Zaifman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201811,79,Another Day Of Sun,La La Land Cast,라라 랜드 OST,국외영화
201811,82,No One Else Like You,Adam Levine,Begin Again - Music From And Inspired By The Original Motion Picture,"록/메탈, 국외영화"
201811,91,말리꽃,이승철,청연 OST,"발라드, 국내영화"
201811,92,서쪽 하늘,이승철,청연 OST,"발라드, 국내영화"
201811,94,Falling Slowly,Glen Hansard & Marketa Irglova,원스 (Once) OST,국외영화
201811,95,Let It Go,Idina Menzel,겨울왕국 OST,"POP, 애니메이션/웹툰, 키즈, 만화"
201812,10,See You Again (폴 워커 추모 엔딩곡),Charlie Puth,분노의 질주: 더 세븐 OST,"랩/힙합, 국외영화"
201812,12,Lost Stars,Adam Levine,Begin Again - Music From And Inspired By The Original Motion Picture,"POP, 록/메탈, 국외영화"
201812,16,This Is Me,Keala Settle,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201812,17,"City Of Stars (From ""La La Land"" Soundtrack)",Ryan Gosling,라라 랜드 OST,"POP, 국외영화"
201812,30,Never Enough,Loren Allred,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201812,40,Rewrite The Stars,Zac Efron,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201812,46,The Greatest Show,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,국외영화
201812,63,It was you,San E,"라라 (Live Again, Love Again) OST Part.4","랩/힙합, 국내영화"
201812,65,No One Else Like You,Adam Levine,Begin Again - Music From And Inspired By The Original Motion Picture,"록/메탈, 국외영화"
201812,68,19금Lose Yourself,Eminem,8 마일 OST,"록/메탈, 랩/힙합, 국외영화"
201812,69,How Long Will I Love You,Ellie Goulding,어바웃타임 OST,"록/메탈, 국외영화"
201812,76,The Other Side,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201812,82,Another Day Of Sun,La La Land Cast,라라 랜드 OST,국외영화
201812,83,A Million Dreams,Ziv Zaifman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201812,89,서쪽 하늘,이승철,청연 OST,"발라드, 국내영화"
201812,91,말리꽃,이승철,청연 OST,"발라드, 국내영화"
201812,92,Falling Slowly,Glen Hansard & Marketa Irglova,원스 (Once) OST,국외영화
201812,95,Let It Go,Idina Menzel,겨울왕국 OST,"POP, 애니메이션/웹툰, 키즈, 만화"
201813,13,See You Again (폴 워커 추모 엔딩곡),Charlie Puth,분노의 질주: 더 세븐 OST,"랩/힙합, 국외영화"
201813,15,Lost Stars,Adam Levine,Begin Again - Music From And Inspired By The Original Motion Picture,"POP, 록/메탈, 국외영화"
201813,21,"City Of Stars (From ""La La Land"" Soundtrack)",Ryan Gosling,라라 랜드 OST,"POP, 국외영화"
201813,23,This Is Me,Keala Settle,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201813,38,Never Enough,Loren Allred,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201813,47,Rewrite The Stars,Zac Efron,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201813,55,The Greatest Show,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,국외영화
201813,71,Another Day Of Sun,La La Land Cast,라라 랜드 OST,국외영화
201813,79,19금Lose Yourself,Eminem,8 마일 OST,"록/메탈, 랩/힙합, 국외영화"
201813,82,How Long Will I Love You,Ellie Goulding,어바웃타임 OST,"록/메탈, 국외영화"
201813,85,No One Else Like You,Adam Levine,Begin Again - Music From And Inspired By The Original Motion Picture,"록/메탈, 국외영화"
201813,90,The Other Side,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201813,93,서쪽 하늘,이승철,청연 OST,"발라드, 국내영화"
201813,97,A Million Dreams,Ziv Zaifman,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201813,99,말리꽃,이승철,청연 OST,"발라드, 국내영화"
201813,100,It was you,San E,"라라 (Live Again, Love Again) OST Part.4","랩/힙합, 국내영화"
201814,16,See You Again (폴 워커 추모 엔딩곡),Charlie Puth,분노의 질주: 더 세븐 OST,"랩/힙합, 국외영화"
201814,18,Lost Stars,Adam Levine,Begin Again - Music From And Inspired By The Original Motion Picture,"POP, 록/메탈, 국외영화"
201814,20,"City Of Stars (From ""La La Land"" Soundtrack)",Ryan Gosling,라라 랜드 OST,"POP, 국외영화"
201814,26,This Is Me,Keala Settle,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201814,49,Never Enough,Loren Allred,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201814,56,How Long Will I Love You,Ellie Goulding,어바웃타임 OST,"록/메탈, 국외영화"
201814,57,Rewrite The Stars,Zac Efron,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201814,66,Another Day Of Sun,La La Land Cast,라라 랜드 OST,국외영화
201814,72,The Greatest Show,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,국외영화
201814,91,서쪽 하늘,이승철,청연 OST,"발라드, 국내영화"
201814,93,19금Lose Yourself,Eminem,8 마일 OST,"록/메탈, 랩/힙합, 국외영화"
201814,98,No One Else Like You,Adam Levine,Begin Again - Music From And Inspired By The Original Motion Picture,"록/메탈, 국외영화"
201815,15,Lost Stars,Adam Levine,Begin Again - Music From And Inspired By The Original Motion Picture,"POP, 록/메탈, 국외영화"
201815,17,See You Again (폴 워커 추모 엔딩곡),Charlie Puth,분노의 질주: 더 세븐 OST,"랩/힙합, 국외영화"
201815,19,"City Of Stars (From ""La La Land"" Soundtrack)",Ryan Gosling,라라 랜드 OST,"POP, 국외영화"
201815,28,This Is Me,Keala Settle,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201815,51,Never Enough,Loren Allred,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201815,53,How Long Will I Love You,Ellie Goulding,어바웃타임 OST,"록/메탈, 국외영화"
201815,55,Another Day Of Sun,La La Land Cast,라라 랜드 OST,국외영화
201815,58,Rewrite The Stars,Zac Efron,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201815,75,The Greatest Show,Hugh Jackman,위대한 쇼맨 (The Greatest Showman) OST,국외영화
201815,84,Strawberries & Cigarettes,Troye Sivan,"Love, Simon OST (영화 ‘러브 사이먼’ 오리지널 사운드트랙)","POP, 국외영화"
201815,92,No One Else Like You,Adam Levine,Begin Again - Music From And Inspired By The Original Motion Picture,"록/메탈, 국외영화"
201815,94,19금Lose Yourself,Eminem,8 마일 OST,"록/메탈, 랩/힙합, 국외영화"
201815,96,서쪽 하늘,이승철,청연 OST,"발라드, 국내영화"
201816,18,See You Again (폴 워커 추모 엔딩곡),Charlie Puth,분노의 질주: 더 세븐 OST,"랩/힙합, 국외영화"
201816,19,Lost Stars,Adam Levine,Begin Again - Music From And Inspired By The Original Motion Picture,"POP, 록/메탈, 국외영화"
201816,21,"City Of Stars (From ""La La Land"" Soundtrack)",Ryan Gosling,라라 랜드 OST,"POP, 국외영화"
201816,31,This Is Me,Keala Settle,위대한 쇼맨 (The Greatest Showman) OST,"POP, 국외영화"
201816,48,Strawberries & Cigarettes,Troye Sivan,"Love, Simon OST (영화 ‘러브 사이먼’ 오리지널 사운드트랙)","POP, 국외영화"
201816,54,How Long Will I Love You,Ellie Goulding,어바웃타임 OST,"록/메탈, 국외영화"
